						Earth VS Aliens War Report

Td			ID   				Tj				Df				Dd				Db
193			2760   				94				20				79				99
193			2283   				34				0				159				159
194			924   				123				26				45				71
194			2600   				75				0				119				119
194			2597   				75				118				1				119
195			530   				72				25				98				123
195			2788   				97				36				62				98
195			2256   				31				36				128				164
195			2279   				34				159				2				161
195			2242   				30				3				162				165
196			2757   				93				23				80				103
196			2452   				55				21				120				141
196			2919   				116				31				49				80
196			2586   				73				0				123				123
196			2227   				28				0				168				168
196			2572   				71				0				125				125
197			354   				46				30				121				151
197			571   				78				26				93				119
197			2455   				55				21				121				142
197			2217   				27				0				170				170
198			952   				130				23				45				68
198			374   				47				32				119				151
198			2222   				28				168				2				170
198			2179   				23				0				175				175
199			942   				127				56				16				72
199			2582   				71				14				114				128
199			2570   				70				0				129				129
199			2566   				70				0				129				129
199			2168   				22				0				177				177
200			248   				35				18				147				165
200			260   				36				22				142				164
200			2996   				125				49				26				75
200			2993   				125				17				58				75
200			2105   				13				0				187				187
201			654   				89				22				90				112
201			2808   				100				71				30				101
201			2177   				23				176				2				178
201			2159   				21				0				180				180
201			13   				4				0				197				197
202			2564   				70				130				2				132
203			909   				122				0				81				81
203			2965   				121				27				55				82
203			2101   				13				188				2				190
203			2085   				9				0				194				194
203			881   				117				26				60				86
204			481   				64				28				112				140
204			2553   				69				13				122				135
204			2552   				69				0				135				135
204			2075   				8				0				196				196
205			907   				122				26				57				83
205			2081   				9				195				1				196
206			346   				45				26				135				161
206			2879   				110				33				63				96
206			2561   				70				134				2				136
206			2549   				68				0				138				138
207			750   				100				26				81				107
207			538   				72				27				108				135
207			804   				107				27				73				100
207			2725   				90				30				87				117
207			2448   				54				19				134				153
207			2010   				1				205				1				206
208			954   				130				23				55				78
208			901   				121				0				87				87
208			2659   				81				87				40				127
208			2671   				84				69				55				124
208			2259   				31				44				133				177
208			2014   				2				204				2				206
208			473   				63				28				117				145
209			803   				106				27				76				103
209			465   				63				53				93				146
209			2004   				1				206				2				208
209			2544   				68				139				2				141
210			227   				31				20				159				179
210			825   				108				28				74				102
210			638   				87				22				101				123
210			162   				21				13				176				189
210			556   				75				25				110				135
210			2773   				96				2				112				114
210			2003   				1				208				1				209
210			2535   				67				0				143				143
211			453   				61				28				122				150
211			435   				56				31				124				155
211			422   				55				32				124				156
211			651   				89				22				100				122
211			985   				134				21				56				77
211			2524   				65				1				145				146
211			2460   				55				22				134				156
211			2001   				1				208				2				210
211			2006   				1				209				1				210
212			863   				115				26				71				97
212			264   				36				23				153				176
212			757   				100				28				84				112
212			2481   				58				82				72				154
212			2466   				57				20				135				155
212			2627   				78				29				105				134
212			2529   				67				144				1				145
212			2499   				62				4				146				150
213			474   				64				28				121				149
213			182   				24				13				176				189
213			280   				38				25				150				175
213			671   				90				25				98				123
213			2292   				35				42				136				178
213			2012   				2				209				2				211
213			2489   				61				0				152				152
213			2020   				2				0				211				211
214			502   				67				28				119				147
214			517   				68				27				119				146
214			306   				41				24				149				173
214			2939   				118				3				93				96
214			2017   				2				210				2				212
215			756   				100				27				88				115
215			336   				44				27				144				171
215			929   				124				25				66				91
215			536   				72				25				118				143
215			934   				124				25				66				91
215			2502   				62				103				50				153
215			2474   				58				20				137				157
215			2204   				26				0				189				189
215			2025   				3				0				212				212
215			2033   				4				0				211				211
215			2041   				4				0				211				211
216			320   				43				54				119				173
216			988   				134				22				60				82
216			899   				121				78				17				95
216			2479   				58				91				67				158
216			2752   				93				94				29				123
216			2487   				61				154				1				155
216			2462   				57				3				156				159
216			2050   				5				0				211				211
217			992   				135				22				60				82
217			253   				35				21				161				182
217			2478   				58				20				139				159
217			2804   				100				36				81				117
217			2046   				5				0				212				212
218			844   				113				27				78				105
218			673   				91				25				102				127
218			2450   				54				50				114				164
218			2385   				47				39				132				171
218			2074   				8				0				210				210
218			2076   				8				0				210				210
219			510   				68				27				124				151
219			686   				92				26				101				127
219			317   				42				26				151				177
219			916   				123				26				70				96
219			2647   				79				31				109				140
219			2463   				57				160				2				162
219			2457   				55				0				164				164
220			2079   				9				209				2				211
220			148   				20				9				191				200
221			816   				108				27				86				113
221			147   				20				8				193				201
221			890   				117				0				104				104
221			2859   				107				42				72				114
221			2084   				9				210				2				212
221			2090   				10				2				209				211
222			938   				127				24				71				95
222			904   				122				26				74				100
222			2998   				125				0				97				97
222			2873   				110				41				71				112
222			2451   				55				0				167				167
222			2104   				13				0				209				209
222			2441   				54				0				168				168
222			2107   				13				0				209				209
223			986   				134				21				68				89
223			838   				113				27				83				110
223			579   				80				24				119				143
223			2110   				14				0				209				209
223			2122   				15				2				206				208
224			114   				16				6				202				208
224			882   				117				26				81				107
224			762   				101				28				95				123
224			2991   				125				4				95				99
224			2482   				58				21				145				166
224			2439   				53				0				171				171
225			887   				117				2				106				108
225			2414   				51				14				160				174
